normalized_name,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,skillhub_installs,skillhub_stars,skillhub_owner,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars,openclawmp_author
0xwork,1,1,0xwork,0xwork,1.3.0,493,18,0,jkillr,s-01aeb8c208712f4c,0xwork,0xwork,1.3.0,2,0,0,jkillr
12306,1,1,12306-hot-trend,12306,0.1.0,27,7,0,codekungfu,s-f927704f7729d242,12306,12306 Train Query,1.0.2,0,0,0,kirorab
1password,2,1,1password,1password,1.0.1,16072,916,34,steipete,s-4ebdf097ec63e792,1password,1password,1.0.1,3,1,0,steipete
3d-cog,1,1,3d-cog,3d-cog,1.0.0,863,48,3,nitishgargiitd,s-8acdadafb0997b52,3d-cog,3d Cog,1.0.0,0,0,0,nitishgargiitd
4claw,2,1,4claw,4claw,0.2.4,2236,125,2,mfergpt,s-6bf9605c7a339a28,4claw,4claw,0.2.4,1,2,2,mfergpt
a,1,1,a,a,1.0.0,1488,48,1,ricketh137,s-f2e9146308974fb5,a,A,1.0.0,0,1,1,ricketh137
ab-test-setup,2,1,cs-ab-test-setup,ab-test-setup,1.0.0,122,15,0,alirezarezvani,s-5ceb1641c61b1e2f,ab-test-setup,A/B测试设置,1.3.0,11,11798,11794,coreyhaines31
academic-writing,1,1,academic-writing,academic-writing,1.0.0,3921,465,2,teamolab,s-36d712fddb9d421d,academic-writing,Academic Writing,1.0.0,13,4,2,teamolab
academic-writing-refiner,1,1,academic-writing-refiner,academic-writing-refiner,1.0.0,1897,150,5,zihan-zhu,s-98931fa7fb968f94,academic-writing-refiner,Academic Writing Refiner,1.0.0,8,3,0,zihan-zhu
acestep,1,1,acestep,acestep,1.0.2,843,10,0,dumoedss,s-f54326b952ddddf9,acestep,Acestep,1.0.2,3,0,0,dumoedss
acestep-lyrics-transcription,1,1,acestep-lyrics-transcription,acestep-lyrics-transcription,1.0.1,581,7,0,dumoedss,s-ed706cde0d182b96,acestep-lyrics-transcription,Acestep 歌词转录,1.0.1,4,1,0,dumoedss
acestep-songwriting,1,1,acestep-songwriting,acestep-songwriting,1.0.0,643,28,1,dumoedss,s-f0ba58a76caad417,acestep-songwriting,Acestep Songwriting,1.0.0,0,1,1,dumoedss
actionbook,1,1,actionbook,Actionbook,0.1.1,1327,24,0,adcentury,s-98b090ef023c2ec3,actionbook,Actionbook,0.1.1,0,0,0,adcentury
activecampaign,2,1,active-campaign,ActiveCampaign,1.0.6,3674,250,3,byungkyu,s-ddbb1884c40f579d,activecampaign,ActiveCampaign CRM,1.0.0,0,0,0,kesslerio
activity-analyzer,1,1,activity-analyzer,activity-analyzer,1.0.1,385,10,0,qew21,s-0b863ffc4bb71f48,activity-analyzer,Activity Analyzer,1.0.1,1,0,0,qew21
ad-creative,1,1,cs-ad-creative,ad-creative,1.0.0,115,5,0,alirezarezvani,s-548f6315a711238a,ad-creative,创意广告,1.3.0,11,11797,11794,coreyhaines31
adaptive-suite,1,1,adaptive-suite,adaptive-suite,1.0.0,2737,188,3,afajohn,s-d453e0aadd6ed255,adaptive-suite,Adaptive Suite,1.0.0,2,0,0,afajohn
adaptlypost,1,1,adaptlypost,AdaptlyPost,1.0.3,610,7,0,tarasshyn,s-81d69cc31a4029d5,adaptlypost,AdaptlyPost,1.0.3,0,0,0,tarasshyn
adguard,1,1,adguard,Adguard,0.1.0,2313,79,5,rowbotik,s-bc6ef7a959fa14bb,adguard,Adguard,0.1.0,1,5,5,rowbotik
aetherlang,1,1,aetherlang,AetherLang,9.9.11,1162,18,2,contrario,s-c7d9e73e1e8596a1,aetherlang,AetherLang,9.9.11,0,0,0,contrario
agent-task-tracker,1,1,new-agent-task-tracker,agent-task-tracker,1.0.0,171,7,0,sunshine-del-ux,s-4d478f21b807a071,agent-task-tracker,Task Tracker,1.1.0,8,2,0,rikouu
agentbench,1,1,agentbench,AgentBench,1.0.0,369,16,1,exe215,s-bf40b3e2555ab9fd,agentbench,AgentBench,1.0.0,0,0,0,exe215
agentchan,2,1,agentchan,agentchan,2.0.1,1715,56,0,vvsotnikov,s-912ee484c6747c2b,agentchan,Agentchan,1.0.0,0,0,0,agentchan
agentchat,1,1,wangwu-agent-chat,AgentChat,0.0.1,431,3,0,wangwu-30,s-36b68cdfd2fb15f3,agentchat,Agentchat,1.0.0,0,0,0,tree
agentcli-go,1,1,agentcli-go,agentcli-go,1.0.0,317,4,0,gh-xj,s-41831e612afc66da,agentcli-go,Agentcli Go,1.0.0,0,0,0,gh-xj
agentdo,1,1,agentdo,AgentDo,1.0.0,490,9,0,wrannaman,s-44eff5976604a458,agentdo,AgentDo,1.0.0,0,0,0,wrannaman
agentlens,1,1,agentlens,Agentlens,1.0.0,3957,314,3,nguyenphutrong,s-255c61091b007385,agentlens,Agentlens,1.0.0,0,0,0,nguyenphutrong
agentmail,2,1,agentmail,AgentMail,1.1.1,18613,251,45,adboio,s-21bde80ea584092a,agentmail,AgentMail,1.1.1,1,0,0,adboio
agentmesh,1,1,agentmesh,AgentMesh,0.1.1,569,7,0,cerbug45,s-d3fe70de99aeac4b,agentmesh,Agentmesh,1.0.0,0,0,0,tree
agentpin,1,1,agentpin,AgentPin,1.0.0,476,18,2,jaschadub,s-3e500ff68564bebd,agentpin,AgentPin,1.0.0,1,0,0,jaschadub
agentplace,1,1,agentplace,Agentplace,2.0.3,332,9,4,himanshunextbase,s-d829357c2bf9e5ba,agentplace,Agentplace,2.0.2,1,0,0,himanshunextbase
agentskills-io,1,1,agentskills-io,agentskills-io,2.5.0,1989,57,2,killerapp,s-1145e7b031e2274a,agentskills-io,Agentskills Io,2.5.0,0,2,2,killerapp
agentsmint,1,1,agentsmint,Agentsmint,1.0.1,1308,12,1,kit-the-fox,s-f817a303e53ad8c7,agentsmint,Agentsmint,1.0.1,3,1,0,kit-the-fox
agentyard,1,1,agent-marketplace,AgentYard,1.0.0,71,1,0,m-maciver,s-d2fc955926ec2516,agentyard,"AgentYard — The world's first agent-only codebase. Register, get a GitHub token, and start building alongside other AI agents. Create branches, open PRs, review code, and ship to production at agentyard.dev. No humans required.",1.0.1,0,0,0,gregm711
ai-news-oracle,1,1,ai-news-oracle,ai-news-oracle,1.0.0,2830,169,1,swimmingkiim,s-fe5ac4215be33c2d,ai-news-oracle,Ai News Oracle,1.0.0,0,1,1,swimmingkiim
ai-review,1,1,ai-review,AI-review,1.0.0,387,11,0,blackshady1130-jpg,s-0e91864b006ec1bf,ai-review,AI-review,1.0.0,2,0,0,blackshady1130-jpg
ai-seo,1,1,cs-ai-seo,ai-seo,1.0.0,122,9,0,alirezarezvani,s-5f8a0d7929bb8622,ai-seo,AI SEO,1.3.0,5,11795,11794,coreyhaines31
aiprox,1,1,aiprox,Aiprox,3.0.0,414,8,0,yebdmo2,s-73cdc7e3ddd1eeba,aiprox,Aiprox,3.0.0,1,0,0,yebdmo2
airfoil,1,1,airfoil,Airfoil,1.0.1,1839,17,0,asteinberger,s-51c376c694ab141d,airfoil,Airfoil,1.0.1,0,0,0,asteinberger
airpoint,1,1,airpoint,Airpoint,1.3.16,1125,27,2,marioandf,s-56f771c542d2c6e1,airpoint,Airpoint,1.3.16,0,0,0,marioandf
aisp,1,1,aisp,AISP,2.0.2,597,6,0,daveo280,s-8cfbd0ff10cfe260,aisp,AISP,2.0.2,0,0,0,daveo280
akaunting,1,1,akaunting,Akaunting,1.0.0,776,5,0,liekzejaws,s-23da6b30d2d45184,akaunting,Akaunting,1.0.0,0,0,0,tree
alexandrie,1,1,alexandrie,Alexandrie,1.0.0,1857,17,2,eth3rnit3,s-114c142cbf199aeb,alexandrie,Alexandrie,1.0.0,1,2,2,eth3rnit3
analytics-tracking,1,1,cs-analytics-tracking,analytics-tracking,1.0.0,143,8,0,alirezarezvani,s-19e60a82691db16f,analytics-tracking,分析追踪,1.3.0,9,11797,11794,coreyhaines31
anime,1,1,anime,Anime,1.0.1,1639,22,1,jeffaf,s-5028030f8adfbe7a,anime,Anime,1.0.0,0,0,0,tree
announcer,1,1,announcer,Announcer,1.2.3,2038,137,1,odrobnik,s-072c5d3a9b08a296,announcer,Announcer,1.0.0,0,0,0,tree
anthropology,1,1,anthropology,Anthropology,0.1.1,1805,48,1,networktheoryappliedresearchinstitute,s-0788cd1c45d33cdf,anthropology,Anthropology,0.1.1,1,0,0,networktheoryappliedresearchinstitute
anti-injection-skill,1,1,security-sentinel-skill,Anti-Injection-Skill,2.0.3,10351,1437,10,georges91560,s-a2c1fb266d2796cc,anti-injection-skill,smart-security,1.1.2,1,1,0,georges91560
antivirus,1,1,antivirus,Antivirus,6.8.20,1668,18,1,thomaslwang,s-775b2518670f89f6,antivirus,Antivirus,6.8.20,1,0,0,thomaslwang
apollo,2,1,apollo-api,Apollo,1.0.5,5329,392,5,byungkyu,s-d64228da4106c06b,apollo,Apollo,1.0.0,0,0,0,tree
arr-all,1,1,arr-all,arr-all,1.0.0,1063,24,2,rappo,s-19a61a34f7f71ce5,arr-all,Arr All,1.0.0,2,3,2,rappo
arxivkb,1,1,arxivkb,arxivkb,1.0.1,420,25,0,camopel,s-1df309b4e84ccdbe,arxivkb,Arxivkb,1.0.1,4,1,0,camopel
asana,4,1,asana-api,Asana,1.0.3,15587,13,5,byungkyu,s-dc4dc57d4e37afcb,asana,Asana,1.0.0,2,0,0,k0nkupa
askhuman,1,1,askhuman,AskHuman,1.0.0,495,18,0,hagiss,s-8c411ad655a764ea,askhuman,AskHuman,1.0.0,0,0,0,hagiss
astranova,1,1,astranova,Astranova,2.0.0,503,4,0,fermartz,s-3ff432071aa793d5,astranova,Astranova,2.0.0,0,0,0,fermartz
atonement,1,1,atonement,Atonement,1.0.1,900,27,0,otherpowers,s-3f9c141bce6bcc2b,atonement,Atonement,1.0.1,0,0,0,otherpowers
atris,1,1,atris,Atris,1.1.0,1034,28,0,keshav55,s-e44882e639e36741,atris,Atris,1.1.0,3,0,0,keshav55
atxp,2,1,atxp-2,Atxp,0.1.0,1402,44,1,r-m-naveen,s-dade3c00a63fa654,atxp,Atxp,1.0.0,0,0,0,emilioacc
audiomind,1,1,audiomind,Audiomind,3.3.0,462,26,5,wells1137,s-01e8232eb41cfcc4,audiomind,Audiomind,3.3.0,1,0,0,wells1137
audiopod,1,1,audiopod,AudioPod,1.2.3,3097,322,3,rakesh1002,s-79c58ad31f3b0de4,audiopod,AudioPod,1.2.3,7,5,3,rakesh1002
authy,1,1,authy,Authy,0.3.0,476,2,2,eric8810,s-468f38f4e1f21cdf,authy,Authy,0.3.0,2,2,2,eric8810
auto-drive,1,1,auto-drive,auto-drive,1.0.4,466,5,1,emilfattakhov,s-25ab46ae29f8d360,auto-drive,Auto Drive,1.0.4,0,1,1,emilfattakhov
autobahn,1,1,autobahn,Autobahn,0.0.11,1327,33,0,unifiedh,s-127a49a6ad457583,autobahn,Autobahn,0.0.11,0,0,0,unifiedh
autonomous-feature-planner,1,1,autonomous-feature-planner,autonomous-feature-planner,1.0.1,2599,102,1,root,s-fd097fda3b6a026d,autonomous-feature-planner,Autonomous Feature Planner,1.0.1,1,0,0,vishnubedi3
baeckerherz,1,1,baeckerherz,baeckerherz,0.1.0,404,7,0,kleberbaum,s-5af217c0a8f65636,baeckerherz,Baeckerherz,1.0.0,0,0,0,tree
bagsworld,1,1,bagsworld,BagsWorld,1.0.0,795,8,0,aiengineerx,s-7eec0136c17bcbb8,bagsworld,BagsWorld,1.0.0,0,0,0,aiengineerx
baidu-search,1,1,baidu-qianfan-search,baidu-search,1.0.0,46,28,0,lsall357357,s-60a54c48ddcb8b34,baidu-search,百度网络搜索,1.1.0,47,16,0,ide-rea
baseball,1,1,baseball,Baseball,0.1.2,409,6,0,khaney64,s-f9605d67da42542a,baseball,棒球,0.1.2,2,0,0,khaney64
basecred,1,1,basecred,BaseCred,1.0.0,1388,12,3,callmedas69,s-7bd1dd5755939e0e,basecred,BaseCred,1.0.0,0,0,0,callmedas69
beauty-generation-api,1,1,beauty-generation-api,beauty-generation-api,1.2.42,5678,1072,7,luruibu,s-99934f9720d97d58,beauty-generation-api,Beauty Generation Api,1.2.42,4,0,0,luruibu
beepctl,1,1,beepctl,beepctl,0.1.4,2003,53,1,blqke,s-b353af2e673e093a,beepctl,Beepctl,1.0.0,0,0,0,tree
beestat,1,1,beestat,Beestat,0.1.0,1669,12,1,mjrussell,s-6735ccf35e122bb2,beestat,Beestat,1.0.0,0,1,1,tree
bexio,1,1,bexio-integration,Bexio,1.0.0,84,2,0,membranedev,s-789e5aa0176e97ae,bexio,Bexio,1.0.0,0,0,0,tree
