normalized_name,normalized_version,normalized_author,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_owner,skillhub_homepage,skillhub_downloads,skillhub_installs,skillhub_stars,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_author,openclawmp_asset_url,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars
0xwork,1.3.0,jkillr,1,1,0xwork,0xwork,1.3.0,jkillr,https://clawhub.ai/jkillr/0xwork,493,18,0,s-01aeb8c208712f4c,0xwork,0xwork,1.3.0,jkillr,https://openclawmp.cc/api/v1/assets/s-01aeb8c208712f4c,2,0,0
1password,1.0.1,steipete,1,1,1password,1password,1.0.1,steipete,https://clawhub.ai/steipete/1password,16072,916,34,s-4ebdf097ec63e792,1password,1password,1.0.1,steipete,https://openclawmp.cc/api/v1/assets/s-4ebdf097ec63e792,3,1,0
3d-cog,1.0.0,nitishgargiitd,1,1,3d-cog,3d-cog,1.0.0,nitishgargiitd,https://clawhub.ai/nitishgargiitd/3d-cog,863,48,3,s-8acdadafb0997b52,3d-cog,3d Cog,1.0.0,nitishgargiitd,https://openclawmp.cc/api/v1/assets/s-8acdadafb0997b52,0,0,0
4claw,0.2.4,mfergpt,1,1,4claw,4claw,0.2.4,mfergpt,https://clawhub.ai/mfergpt/4claw,2236,125,2,s-6bf9605c7a339a28,4claw,4claw,0.2.4,mfergpt,https://openclawmp.cc/api/v1/assets/s-6bf9605c7a339a28,1,2,2
a,1.0.0,ricketh137,1,1,a,a,1.0.0,ricketh137,https://clawhub.ai/ricketh137/a,1488,48,1,s-f2e9146308974fb5,a,A,1.0.0,ricketh137,https://openclawmp.cc/api/v1/assets/s-f2e9146308974fb5,0,1,1
academic-writing,1.0.0,teamolab,1,1,academic-writing,academic-writing,1.0.0,teamolab,https://clawhub.ai/teamolab/academic-writing,3921,465,2,s-36d712fddb9d421d,academic-writing,Academic Writing,1.0.0,teamolab,https://openclawmp.cc/api/v1/assets/s-36d712fddb9d421d,13,4,2
academic-writing-refiner,1.0.0,zihan-zhu,1,1,academic-writing-refiner,academic-writing-refiner,1.0.0,zihan-zhu,https://clawhub.ai/zihan-zhu/academic-writing-refiner,1897,150,5,s-98931fa7fb968f94,academic-writing-refiner,Academic Writing Refiner,1.0.0,zihan-zhu,https://openclawmp.cc/api/v1/assets/s-98931fa7fb968f94,8,3,0
acestep,1.0.2,dumoedss,1,1,acestep,acestep,1.0.2,dumoedss,https://clawhub.ai/dumoedss/acestep,843,10,0,s-f54326b952ddddf9,acestep,Acestep,1.0.2,dumoedss,https://openclawmp.cc/api/v1/assets/s-f54326b952ddddf9,3,0,0
acestep-lyrics-transcription,1.0.1,dumoedss,1,1,acestep-lyrics-transcription,acestep-lyrics-transcription,1.0.1,dumoedss,https://clawhub.ai/dumoedss/acestep-lyrics-transcription,581,7,0,s-ed706cde0d182b96,acestep-lyrics-transcription,Acestep 歌词转录,1.0.1,dumoedss,https://openclawmp.cc/api/v1/assets/s-ed706cde0d182b96,4,1,0
acestep-songwriting,1.0.0,dumoedss,1,1,acestep-songwriting,acestep-songwriting,1.0.0,dumoedss,https://clawhub.ai/dumoedss/acestep-songwriting,643,28,1,s-f0ba58a76caad417,acestep-songwriting,Acestep Songwriting,1.0.0,dumoedss,https://openclawmp.cc/api/v1/assets/s-f0ba58a76caad417,0,1,1
actionbook,0.1.1,adcentury,1,1,actionbook,Actionbook,0.1.1,adcentury,https://clawhub.ai/adcentury/actionbook,1327,24,0,s-98b090ef023c2ec3,actionbook,Actionbook,0.1.1,adcentury,https://openclawmp.cc/api/v1/assets/s-98b090ef023c2ec3,0,0,0
activity-analyzer,1.0.1,qew21,1,1,activity-analyzer,activity-analyzer,1.0.1,qew21,https://clawhub.ai/qew21/activity-analyzer,385,10,0,s-0b863ffc4bb71f48,activity-analyzer,Activity Analyzer,1.0.1,qew21,https://openclawmp.cc/api/v1/assets/s-0b863ffc4bb71f48,1,0,0
