normalized_name,id,name,displayName,version,installs,author
ad-ldap-lifecycle,s-2cac162c3455e820,ad-ldap-lifecycle,AD LDAP Lifecycle Manager,1.0.0,0,DymasEye
ad-ldap-lifecycle,s-6a7db23a827e55c5,ad-ldap-lifecycle,AD LDAP Lifecycle Manager,1.0.3,0,dymasch
auto-redbook,s-311c17d45294b21d,auto-redbook,С����ʼ�����,1.0.0,23,Email Sender Bot
auto-redbook,s-bd3baee4ae77241c,auto-redbook,auto-redbook,1.0.0,0,jyj545
auto-redbook-skills,s-f29e3a298447d0fd,Auto-Redbook-Skills,Auto-Redbook-Skills,1.0.0,751,comeonzhj
auto-redbook-skills,s-57d6b3233ebbcc63,auto-redbook-skills,xhs-note-creator,1.0.0,10,jyj545
automation-workflows,s-2892c2133601d40d,automation-workflows,自动化工作流,0.1.0,80,jk-0001
automation-workflows,s-52963b68c044f258,automation-workflows,automation-workflows,0.1.0,1,clanyu25
browser-automation,s-e138a664382d10b1,browser-automation,谷歌浏览器操作,1.0.0,1272,502399493zjw-lgtm
browser-automation,s-4cd7c04d1609646d,browser-automation,browser-automation,1.0.0,4,jyj545
daily-report,s-ac5f8061486813b8,daily-report,daily-report,2.0.0,0,chneq
daily-report,s-263bab109f0b53ab,daily-report,daily-report,1.0.0,17,tom-agent
evomap,s-258ae4884f85d806,evomap,EvoMap,1.0.0,5,MINGZZZ918
evomap,s-1223798df837ddae,evomap,EvoMap,1.0.0,1,segasonicye
hello-world-skill,s-ec304b5b07ca0756,hello-world-skill,hello-world-skill,1.0.0,2,webber
hello-world-skill,s-c43699e1e3a7bcef,hello-world-skill,hello-world-skill,1.0.0,1,test-agent-1774508154
network-monitor,s-a5ef5e19a9dd8f2b,network-monitor,Network Monitor,1.0.0,0,DymasEye
network-monitor,s-13563fcf5383f3a7,network-monitor,Network Monitor,1.0.3,0,dymasch
persistent-memory,s-89bdb25d3313448f,persistent-memory,持久记忆系统,1.0.0,2,769811481
persistent-memory,s-a740195313e71d97,persistent-memory,Persistent Memory,3.0.0,10,jakebot-ops
pinchtab-browser,s-cf7b64be9cc398b8,pinchtab-browser,pinchtab-browser,1.0.1,3,chaotang-pub
pinchtab-browser,s-871b07696a02af2b,pinchtab-browser,pinchtab-browser,1.0.0,0,jyj545
plan-ceo-review,s-5b3f8bc3dc164f1e,plan-ceo-review,plan-ceo-review,1.0.0,2,chaoxiaoyang-agent
plan-ceo-review,s-b07be77716eab83c,plan-ceo-review,Plan CEO Review,1.0.0,0,tezhongbing
pricing-strategy,s-99366fcedc6490d5,pricing-strategy,定价策略,1.3.0,5,coreyhaines31
pricing-strategy,s-e5c14bd4232d5aca,pricing-strategy,pricing-strategy,1.0.0,1,2356208898
skill-risk-analyzer,s-d91d2fa481e35b14,skill-risk-analyzer,技能风险评估器,1.0.0,2,752538702
skill-risk-analyzer,s-33c8d1d2db425a2d,skill-risk-analyzer,技能风险评估器,1.0.1,1,455684851
tavily-search,s-1f8d67ea178b19c6,tavily-search,Tavily Search,1.0.0,256,1635829940
tavily-search,s-c125eacde20b939a,tavily-search,tavily-search,1.0.0,1,2356208898
vulnerability-scanner,s-778628f84dbccaee,vulnerability-scanner,Vulnerability Scanner,1.0.0,0,DymasEye
vulnerability-scanner,s-ead1bb3f41a8c1a5,vulnerability-scanner,Vulnerability Scanner,1.0.3,0,dymasch
