normalized_name,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,openclawmp_id,openclawmp_name,openclawmp_version,openclawmp_installs
0xwork,0xwork,0xwork,1.3.0,493,s-01aeb8c208712f4c,0xwork,1.3.0,2
12306,12306-hot-trend,12306,0.1.0,27,s-f927704f7729d242,12306,1.0.2,0
1password,1password,1password,1.0.1,16072,s-4ebdf097ec63e792,1password,1.0.1,3
1password,1password-zito,1password,1.0.0,193,s-4ebdf097ec63e792,1password,1.0.1,3
3d-cog,3d-cog,3d-cog,1.0.0,863,s-8acdadafb0997b52,3d-cog,1.0.0,0
4claw,4claw,4claw,0.2.4,2236,s-6bf9605c7a339a28,4claw,0.2.4,1
4claw,4claw-imageboard,4claw,1.0.1,1354,s-6bf9605c7a339a28,4claw,0.2.4,1
a,a,a,1.0.0,1488,s-f2e9146308974fb5,a,1.0.0,0
ab-test-setup,cs-ab-test-setup,ab-test-setup,1.0.0,122,s-5ceb1641c61b1e2f,ab-test-setup,1.3.0,11
ab-test-setup,ocms-ab-test-setup,ab-test-setup,1.0.0,99,s-5ceb1641c61b1e2f,ab-test-setup,1.3.0,11
academic-writing,academic-writing,academic-writing,1.0.0,3921,s-36d712fddb9d421d,academic-writing,1.0.0,13
academic-writing-refiner,academic-writing-refiner,academic-writing-refiner,1.0.0,1897,s-98931fa7fb968f94,academic-writing-refiner,1.0.0,8
acestep,acestep,acestep,1.0.2,843,s-f54326b952ddddf9,acestep,1.0.2,3
acestep-lyrics-transcription,acestep-lyrics-transcription,acestep-lyrics-transcription,1.0.1,581,s-ed706cde0d182b96,acestep-lyrics-transcription,1.0.1,4
acestep-songwriting,acestep-songwriting,acestep-songwriting,1.0.0,643,s-f0ba58a76caad417,acestep-songwriting,1.0.0,0
actionbook,actionbook,Actionbook,0.1.1,1327,s-98b090ef023c2ec3,actionbook,0.1.1,0
activecampaign,active-campaign,ActiveCampaign,1.0.6,3674,s-ddbb1884c40f579d,activecampaign,1.0.0,0
activecampaign,activecampaign-integration,Activecampaign,1.0.0,60,s-ddbb1884c40f579d,activecampaign,1.0.0,0
activity-analyzer,activity-analyzer,activity-analyzer,1.0.1,385,s-0b863ffc4bb71f48,activity-analyzer,1.0.1,1
ad-creative,cs-ad-creative,ad-creative,1.0.0,115,s-548f6315a711238a,ad-creative,1.3.0,11
adaptive-suite,adaptive-suite,adaptive-suite,1.0.0,2737,s-d453e0aadd6ed255,adaptive-suite,1.0.0,2
adaptlypost,adaptlypost,AdaptlyPost,1.0.3,610,s-81d69cc31a4029d5,adaptlypost,1.0.3,0
adguard,adguard,Adguard,0.1.0,2313,s-bc6ef7a959fa14bb,adguard,0.1.0,1
aetherlang,aetherlang,AetherLang,9.9.11,1162,s-c7d9e73e1e8596a1,aetherlang,9.9.11,0
agent-task-tracker,new-agent-task-tracker,agent-task-tracker,1.0.0,171,s-4d478f21b807a071,agent-task-tracker,1.1.0,8
agentbench,agentbench,AgentBench,1.0.0,369,s-bf40b3e2555ab9fd,agentbench,1.0.0,0
agentchan,agentchan,agentchan,2.0.1,1715,s-912ee484c6747c2b,agentchan,1.0.0,0
agentchan,agentchan-org,agentchan,1.0.0,1442,s-912ee484c6747c2b,agentchan,1.0.0,0
agentchat,wangwu-agent-chat,AgentChat,0.0.1,431,s-36b68cdfd2fb15f3,agentchat,1.0.0,0
agentcli-go,agentcli-go,agentcli-go,1.0.0,317,s-41831e612afc66da,agentcli-go,1.0.0,0
agentdo,agentdo,AgentDo,1.0.0,490,s-44eff5976604a458,agentdo,1.0.0,0
agentlens,agentlens,Agentlens,1.0.0,3957,s-255c61091b007385,agentlens,1.0.0,0
agentmail,agentmail,AgentMail,1.1.1,18613,s-21bde80ea584092a,agentmail,1.1.1,1
agentmail,agentmail-2,Agentmail,0.1.1,68,s-21bde80ea584092a,agentmail,1.1.1,1
agentmesh,agentmesh,AgentMesh,0.1.1,569,s-d3fe70de99aeac4b,agentmesh,1.0.0,0
agentpin,agentpin,AgentPin,1.0.0,476,s-3e500ff68564bebd,agentpin,1.0.0,1
agentplace,agentplace,Agentplace,2.0.3,332,s-d829357c2bf9e5ba,agentplace,2.0.2,1
agentskills-io,agentskills-io,agentskills-io,2.5.0,1989,s-1145e7b031e2274a,agentskills-io,2.5.0,0
agentsmint,agentsmint,Agentsmint,1.0.1,1308,s-f817a303e53ad8c7,agentsmint,1.0.1,3
agentyard,agent-marketplace,AgentYard,1.0.0,71,s-d2fc955926ec2516,agentyard,1.0.1,0
ai-news-oracle,ai-news-oracle,ai-news-oracle,1.0.0,2830,s-fe5ac4215be33c2d,ai-news-oracle,1.0.0,0
ai-review,ai-review,AI-review,1.0.0,387,s-0e91864b006ec1bf,ai-review,1.0.0,2
ai-seo,cs-ai-seo,ai-seo,1.0.0,122,s-5f8a0d7929bb8622,ai-seo,1.3.0,5
aiprox,aiprox,Aiprox,3.0.0,414,s-73cdc7e3ddd1eeba,aiprox,3.0.0,1
airfoil,airfoil,Airfoil,1.0.1,1839,s-51c376c694ab141d,airfoil,1.0.1,0
airpoint,airpoint,Airpoint,1.3.16,1125,s-56f771c542d2c6e1,airpoint,1.3.16,0
aisp,aisp,AISP,2.0.2,597,s-8cfbd0ff10cfe260,aisp,2.0.2,0
akaunting,akaunting,Akaunting,1.0.0,776,s-23da6b30d2d45184,akaunting,1.0.0,0
alexandrie,alexandrie,Alexandrie,1.0.0,1857,s-114c142cbf199aeb,alexandrie,1.0.0,1
analytics-tracking,cs-analytics-tracking,analytics-tracking,1.0.0,143,s-19e60a82691db16f,analytics-tracking,1.3.0,9
anime,anime,Anime,1.0.1,1639,s-5028030f8adfbe7a,anime,1.0.0,0
announcer,announcer,Announcer,1.2.3,2038,s-072c5d3a9b08a296,announcer,1.0.0,0
anthropology,anthropology,Anthropology,0.1.1,1805,s-0788cd1c45d33cdf,anthropology,0.1.1,1
anti-injection-skill,security-sentinel-skill,Anti-Injection-Skill,2.0.3,10351,s-a2c1fb266d2796cc,anti-injection-skill,1.1.2,1
antivirus,antivirus,Antivirus,6.8.20,1668,s-775b2518670f89f6,antivirus,6.8.20,1
apollo,apollo,Apollo,1.0.0,4876,s-d64228da4106c06b,apollo,1.0.0,0
apollo,apollo-api,Apollo,1.0.5,5329,s-d64228da4106c06b,apollo,1.0.0,0
arr-all,arr-all,arr-all,1.0.0,1063,s-19a61a34f7f71ce5,arr-all,1.0.0,2
arxivkb,arxivkb,arxivkb,1.0.1,420,s-1df309b4e84ccdbe,arxivkb,1.0.1,4
asana,asana,Asana,1.0.0,3428,s-dc4dc57d4e37afcb,asana,1.0.0,2
asana,asana-agent-skill,Asana,0.2.0,1467,s-dc4dc57d4e37afcb,asana,1.0.0,2
asana,asana-api,Asana,1.0.3,15587,s-dc4dc57d4e37afcb,asana,1.0.0,2
asana,asana-integration,Asana,1.0.0,136,s-dc4dc57d4e37afcb,asana,1.0.0,2
askhuman,askhuman,AskHuman,1.0.0,495,s-8c411ad655a764ea,askhuman,1.0.0,0
astranova,astranova,Astranova,2.0.0,503,s-3ff432071aa793d5,astranova,2.0.0,0
atonement,atonement,Atonement,1.0.1,900,s-3f9c141bce6bcc2b,atonement,1.0.1,0
atris,atris,Atris,1.1.0,1034,s-e44882e639e36741,atris,1.1.0,3
atxp,atxp-2,Atxp,0.1.0,1402,s-dade3c00a63fa654,atxp,1.0.0,0
atxp,atxp-cli,Atxp,1.21.1,484,s-dade3c00a63fa654,atxp,1.0.0,0
audiomind,audiomind,Audiomind,3.3.0,462,s-01e8232eb41cfcc4,audiomind,3.3.0,1
audiopod,audiopod,AudioPod,1.2.3,3097,s-79c58ad31f3b0de4,audiopod,1.2.3,7
authy,authy,Authy,0.3.0,476,s-468f38f4e1f21cdf,authy,0.3.0,2
auto-drive,auto-drive,auto-drive,1.0.4,466,s-25ab46ae29f8d360,auto-drive,1.0.4,0
autobahn,autobahn,Autobahn,0.0.11,1327,s-127a49a6ad457583,autobahn,0.0.11,0
autonomous-feature-planner,autonomous-feature-planner,autonomous-feature-planner,1.0.1,2599,s-fd097fda3b6a026d,autonomous-feature-planner,1.0.1,1
baeckerherz,baeckerherz,baeckerherz,0.1.0,404,s-5af217c0a8f65636,baeckerherz,1.0.0,0
bagsworld,bagsworld,BagsWorld,1.0.0,795,s-7eec0136c17bcbb8,bagsworld,1.0.0,0
baidu-search,baidu-qianfan-search,baidu-search,1.0.0,46,s-60a54c48ddcb8b34,baidu-search,1.1.0,47
baseball,baseball,Baseball,0.1.2,409,s-f9605d67da42542a,baseball,0.1.2,2
basecred,basecred,BaseCred,1.0.0,1388,s-7bd1dd5755939e0e,basecred,1.0.0,0
beauty-generation-api,beauty-generation-api,beauty-generation-api,1.2.42,5678,s-99934f9720d97d58,beauty-generation-api,1.2.42,4
beepctl,beepctl,beepctl,0.1.4,2003,s-b353af2e673e093a,beepctl,1.0.0,0
